message,aid_related
Weather update - a cold front from Cuba that could pass over Haiti,0
Is the Hurricane over or is it not over,1
"says: west side of Haiti, rest of the country today and tonight",0
Information about the National Palace-,0
Storm at sacred heart of jesus,0
"Please, we need tents and water. We are in Silo, Thank you!",1
"I would like to receive the messages, thank you",0
"There's nothing to eat and water, we starving and thirsty.",1
I am in Petionville. I need more information regarding 4636,0
"I am in Thomassin number 32, in the area named Pyron. I would like to have some water. Thank God we are fine, but we desperately need water. Thanks",1
"Let's do it together, need food in Delma 75, in didine area",1
More information on the 4636 number in order for me to participate. ( To see if I can use it ),0
"A Comitee in Delmas 19, Rue ( street ) Janvier, Impasse Charite #2. We have about 500 people in a temporary shelter and we are in dire need of Water, Food, Medications, Tents and Clothes. Please stop by and see us.",1
We need food and water in Klecin 12. We are dying of hunger. Impasse Chretien Klecin 12 extended ( extension ) We are hungry and sick.,1
I don't understand how to use this thing 4636.,0
I would like to know if the earthquake is over. Thanks,0
I would like to know if one of the radio ginen Journalist died?,0
"I'm in Laplaine, I am a victim",1
"There's a lack of water in Moleya, please informed them for me.",1
Those people who live at Sibert need food they are hungry.,1
"I want to say hello, my message is to let you know that there's an area in faustin Anhy street that has nothing neither food, water and medicine,",0
Can you tell me about this service,0
How can we get water and food in Fontamara 43 cite Tinante?,1
We need help. Carrefour has been forgotten completely. The foul odor is killing us. Just letting you know. Thanks!!,1
"Good evening, Radio one please. I would like information on Tiyous.",0
"We have a lot of problem at Delma 75 Avenue Albert Jode, those people need water and food.",1
"I'm here, I didn't find the person that I needed to send the pant by phone",0
People have been sleeping outdoors in a field near Lilavois since 12 Jan. No coords on Lilavois but apparently it is near PaP,0
"We want you to know that Carrefour need help, we starving to death.",1
I would like to get help at Cote Plage in Carrefour,1
"I am in Leoganes, where can I get food? Please",1
"The Comite Miracle in the area of Alerte Rue Monseigneur Guilloux, ( Streets, Alerte and the cross street is Mgr Guilloux ) would like to urgently receive food, water and tents for the people in that area. Thanks",1
"People from Dal blocked since Wednesday in Carrefour, we having water shortage, food and medical assistance.",1
"In Jacmel it's not working at all, because people are dying of hunger.",1
We have no one everybody is dead.,1
"We don't talk about Petit-Goave, Please, look into Petit-Goave.",1
"People in Fontamara 27 in impass area Pierre Louis having lots of difficulties, please help, ASAP.",0
"Good evening, I congratulate you for all the good work and with strenght i'm listening from Matisan 1, we have water and food shortage but God provided his grace upon us.",1
how can we find aid and food in fontamara ( carrefour ),1
"Am listening to radio in Jacmel. Need help to remove dead bodies at Colege la Trinite-universite, the bodies are the professors and students",1
People from Jacmel are requesting a tractor in that area because there is a civil unrest and social disturbance in that area.,1
Im asking a general prayer for the country of Haiti.,0
"We are at KF Marotiere 85, we have food and water shortage, please send food for us.",1
I'm listening to you at Miraguan we asking the government to take change because one gallon gas is 80.,0
I am listening to radio wa in jacmel. I am asking for help to remove the dead bodies under La trinite college situated at university inasmo. The dead bodies are those of students and teachers,1
In which transfert house does someone abroad has to go to send money to haiti,0
"For your information, There are people that are found in the rubbles of the School of Trinite, ( L'Ecole Sainte Trinite ) in Jacmel. Cookies brought to them by Colombian dogs are keeping them alive.",1
When can we get some help in Jacmel?,1
.. .. . we are here our mother has no more water. if you are there let us know ( location not provided ),1
People needing water with baby Location : Beach 24,1
"help is needed in fond parisien, no idea where that is, but any haitian can tell you",1
"We're asking for water, medical supply, food",1
"My home is at Gressier, it has almost collapsed. I would like to distroy it before it collapses completly.",1
would like to know where food and water are being distributed. ( location not provided ),1
"i am very happy, i hear god, religious hyme",0
He is a pastor and an interpreter seeking to help response teams.,0
we have problem at Paco Lazon this is General Police Department we want you to know we almost out of food and water.,1
We are in Sainte Bernadette. There are 2 areas that have not received anything. We are buying water ( warm ) for 5 gourdes.,1
